race,driver,LTD
Antonio Giovinazzi,22,1.027608
Antonio Giovinazzi,21,1.032415
Antonio Giovinazzi,20,1.036122
Antonio Giovinazzi,19,1.03633
Antonio Giovinazzi,18,1.029703
Antonio Giovinazzi,17,1.029481
Antonio Giovinazzi,16,1.024442
Antonio Giovinazzi,15,1.026883
Antonio Giovinazzi,14,1.014262
Antonio Giovinazzi,13,1.036811
Antonio Giovinazzi,11,1.027501
Antonio Giovinazzi,10,1.026474
Antonio Giovinazzi,9,1.026004
Antonio Giovinazzi,8,1.027983
Antonio Giovinazzi,7,1.028463
Antonio Giovinazzi,6,1.025223
Antonio Giovinazzi,5,1.025196
Antonio Giovinazzi,4,1.037609
Antonio Giovinazzi,3,1.021195
Antonio Giovinazzi,2,1.031375
Antonio Giovinazzi,1,1.02267
Carlos Sainz,22,1.022782
Carlos Sainz,21,1.027027
Carlos Sainz,20,1.025567
Carlos Sainz,19,1.018802
Carlos Sainz,18,1.018757
Carlos Sainz,17,1.018927
Carlos Sainz,16,1.011297
Carlos Sainz,15,1.016635
Carlos Sainz,14,1.009515
Carlos Sainz,13,1.030238
Carlos Sainz,11,1.013962
Carlos Sainz,10,1.012393
Carlos Sainz,9,1.017119
Carlos Sainz,8,1.019879
Carlos Sainz,7,1.025348
Carlos Sainz,6,1.016665
Carlos Sainz,5,1.007782
Carlos Sainz,4,1.024437
Carlos Sainz,3,1.020002
Carlos Sainz,2,1.01586
Carlos Sainz,1,1.017828
Charles Leclerc,22,1.025428
Charles Leclerc,21,1.021009
Charles Leclerc,20,1.027194
Charles Leclerc,19,1.01869
Charles Leclerc,18,1.018212
Charles Leclerc,17,1.013839
Charles Leclerc,16,1.011625
Charles Leclerc,15,1.016827
Charles Leclerc,14,1.00603
Charles Leclerc,13,1.024384
Charles Leclerc,10,1.00665
Charles Leclerc,9,1.018344
Charles Leclerc,8,1.017645
Charles Leclerc,7,1.025074
Charles Leclerc,6,1.015619
Charles Leclerc,4,1.019892
Charles Leclerc,3,1.015174
Charles Leclerc,2,1.013283
Charles Leclerc,1,1.018363
Daniel Ricciardo,22,1.028783
Daniel Ricciardo,21,1.028231
Daniel Ricciardo,20,1.032105
Daniel Ricciardo,19,1.026259
Daniel Ricciardo,18,1.028576
Daniel Ricciardo,17,1.018076
Daniel Ricciardo,16,1.023824
Daniel Ricciardo,15,1.016554
Daniel Ricciardo,14,1.004822
Daniel Ricciardo,13,1.032542
Daniel Ricciardo,11,1.030977
Daniel Ricciardo,10,1.014403
Daniel Ricciardo,9,1.018272
Daniel Ricciardo,8,1.027569
Daniel Ricciardo,7,1.02093
Daniel Ricciardo,6,1.021052
Daniel Ricciardo,5,1.025302
Daniel Ricciardo,4,1.023896
Daniel Ricciardo,3,1.019097
Daniel Ricciardo,2,1.025873
Daniel Ricciardo,1,1.017965
Esteban Ocon,22,1.027679
Esteban Ocon,21,1.025364
Esteban Ocon,20,1.028019
Esteban Ocon,19,1.031371
Esteban Ocon,18,1.031426
Esteban Ocon,17,1.033083
Esteban Ocon,16,1.027583
Esteban Ocon,15,1.022323
Esteban Ocon,14,1.013893
Esteban Ocon,13,1.031162
Esteban Ocon,11,1.012349
Esteban Ocon,10,1.021587
Esteban Ocon,8,1.027033
Esteban Ocon,7,1.02766
Esteban Ocon,5,1.025593
Esteban Ocon,4,1.036759
Esteban Ocon,3,1.016527
Esteban Ocon,2,1.031034
Esteban Ocon,1,1.025699
Fernando Alonso,22,1.025945
Fernando Alonso,21,1.033817
Fernando Alonso,20,1.024565
Fernando Alonso,19,1.031683
Fernando Alonso,18,1.021918
Fernando Alonso,17,1.028792
Fernando Alonso,16,1.02464
Fernando Alonso,15,1.016392
Fernando Alonso,14,1.01341
Fernando Alonso,13,1.029981
Fernando Alonso,11,1.014119
Fernando Alonso,10,1.021019
Fernando Alonso,9,1.021597
Fernando Alonso,8,1.026105
Fernando Alonso,7,1.020966
Fernando Alonso,6,1.02288
Fernando Alonso,5,1.025423
Fernando Alonso,4,1.037983
