race,name,driver,team,lap,time
22,uae,Antonio Giovinazzi,alfaR,1,93.17
22,uae,Antonio Giovinazzi,alfaR,2,91.837
22,uae,Antonio Giovinazzi,alfaR,3,91.553
22,uae,Antonio Giovinazzi,alfaR,4,91.59700000000001
22,uae,Antonio Giovinazzi,alfaR,5,91.31299999999999
22,uae,Antonio Giovinazzi,alfaR,6,90.70700000000001
22,uae,Antonio Giovinazzi,alfaR,7,91.022
22,uae,Antonio Giovinazzi,alfaR,8,91.039
22,uae,Antonio Giovinazzi,alfaR,9,91.035
22,uae,Antonio Giovinazzi,alfaR,10,90.74600000000001
22,uae,Antonio Giovinazzi,alfaR,11,90.868
22,uae,Antonio Giovinazzi,alfaR,12,90.853
22,uae,Antonio Giovinazzi,alfaR,13,90.546
22,uae,Antonio Giovinazzi,alfaR,14,90.55
22,uae,Antonio Giovinazzi,alfaR,15,90.682
22,uae,Antonio Giovinazzi,alfaR,16,92.432
22,uae,Antonio Giovinazzi,alfaR,18,89.556
22,uae,Antonio Giovinazzi,alfaR,19,90.001
22,uae,Antonio Giovinazzi,alfaR,20,90.18
22,uae,Antonio Giovinazzi,alfaR,21,90.137
22,uae,Antonio Giovinazzi,alfaR,22,90.346
22,uae,Antonio Giovinazzi,alfaR,23,91.109
22,uae,Antonio Giovinazzi,alfaR,24,89.792
22,uae,Antonio Giovinazzi,alfaR,25,90.00399999999999
22,uae,Antonio Giovinazzi,alfaR,26,89.712
22,uae,Antonio Giovinazzi,alfaR,27,90.28200000000001
22,uae,Antonio Giovinazzi,alfaR,28,89.694
22,uae,Antonio Giovinazzi,alfaR,29,89.775
22,uae,Antonio Giovinazzi,alfaR,30,89.505
22,uae,Antonio Giovinazzi,alfaR,31,89.596
22,uae,Antonio Giovinazzi,alfaR,32,89.44200000000001
21,saudiarabia,Antonio Giovinazzi,alfaR,1,103.867
21,saudiarabia,Antonio Giovinazzi,alfaR,2,97.348
21,saudiarabia,Antonio Giovinazzi,alfaR,3,95.939
21,saudiarabia,Antonio Giovinazzi,alfaR,4,95.637
21,saudiarabia,Antonio Giovinazzi,alfaR,5,95.444
21,saudiarabia,Antonio Giovinazzi,alfaR,6,95.811
21,saudiarabia,Antonio Giovinazzi,alfaR,7,96.069
21,saudiarabia,Antonio Giovinazzi,alfaR,8,95.47399999999999
21,saudiarabia,Antonio Giovinazzi,alfaR,9,95.67299999999999
21,saudiarabia,Antonio Giovinazzi,alfaR,18,95.47399999999999
21,saudiarabia,Antonio Giovinazzi,alfaR,19,94.91
21,saudiarabia,Antonio Giovinazzi,alfaR,20,94.262
21,saudiarabia,Antonio Giovinazzi,alfaR,21,94.316
21,saudiarabia,Antonio Giovinazzi,alfaR,22,94.316
21,saudiarabia,Antonio Giovinazzi,alfaR,25,93.648
21,saudiarabia,Antonio Giovinazzi,alfaR,26,94.26
21,saudiarabia,Antonio Giovinazzi,alfaR,27,105.85
21,saudiarabia,Antonio Giovinazzi,alfaR,28,97.85700000000001
21,saudiarabia,Antonio Giovinazzi,alfaR,33,93.76899999999999
21,saudiarabia,Antonio Giovinazzi,alfaR,34,93.35700000000001
21,saudiarabia,Antonio Giovinazzi,alfaR,35,104.40899999999999
21,saudiarabia,Antonio Giovinazzi,alfaR,36,95.92
21,saudiarabia,Antonio Giovinazzi,alfaR,37,92.865
21,saudiarabia,Antonio Giovinazzi,alfaR,38,94.255
21,saudiarabia,Antonio Giovinazzi,alfaR,39,94.318
21,saudiarabia,Antonio Giovinazzi,alfaR,40,93.375
21,saudiarabia,Antonio Giovinazzi,alfaR,41,93.137
21,saudiarabia,Antonio Giovinazzi,alfaR,42,93.133
21,saudiarabia,Antonio Giovinazzi,alfaR,43,93.23100000000001
21,saudiarabia,Antonio Giovinazzi,alfaR,44,93.31200000000001
21,saudiarabia,Antonio Giovinazzi,alfaR,45,93.348
