race,name,driver,team,lap,time
22,uae,Antonio Giovinazzi,alfaR,1,93.17
22,uae,Antonio Giovinazzi,alfaR,2,91.837
22,uae,Antonio Giovinazzi,alfaR,3,91.553
22,uae,Antonio Giovinazzi,alfaR,4,91.597
22,uae,Antonio Giovinazzi,alfaR,5,91.313
22,uae,Antonio Giovinazzi,alfaR,6,90.707
22,uae,Antonio Giovinazzi,alfaR,7,91.022
22,uae,Antonio Giovinazzi,alfaR,8,91.039
22,uae,Antonio Giovinazzi,alfaR,9,91.035
22,uae,Antonio Giovinazzi,alfaR,10,90.746
22,uae,Antonio Giovinazzi,alfaR,11,90.868
22,uae,Antonio Giovinazzi,alfaR,12,90.853
22,uae,Antonio Giovinazzi,alfaR,13,90.546
22,uae,Antonio Giovinazzi,alfaR,14,90.55
22,uae,Antonio Giovinazzi,alfaR,15,90.682
22,uae,Antonio Giovinazzi,alfaR,16,92.432
22,uae,Antonio Giovinazzi,alfaR,17,111.395
22,uae,Antonio Giovinazzi,alfaR,18,89.556
22,uae,Antonio Giovinazzi,alfaR,19,90.001
22,uae,Antonio Giovinazzi,alfaR,20,90.18
22,uae,Antonio Giovinazzi,alfaR,21,90.137
22,uae,Antonio Giovinazzi,alfaR,22,90.346
22,uae,Antonio Giovinazzi,alfaR,23,91.109
22,uae,Antonio Giovinazzi,alfaR,24,89.792
22,uae,Antonio Giovinazzi,alfaR,25,90.004
22,uae,Antonio Giovinazzi,alfaR,26,89.712
22,uae,Antonio Giovinazzi,alfaR,27,90.282
22,uae,Antonio Giovinazzi,alfaR,28,89.694
22,uae,Antonio Giovinazzi,alfaR,29,89.775
22,uae,Antonio Giovinazzi,alfaR,30,89.505
22,uae,Antonio Giovinazzi,alfaR,31,89.596
22,uae,Antonio Giovinazzi,alfaR,32,89.442
22,uae,Carlos Sainz,ferrari,1,90.325
22,uae,Carlos Sainz,ferrari,2,90.155
22,uae,Carlos Sainz,ferrari,3,90.356
22,uae,Carlos Sainz,ferrari,4,90.387
22,uae,Carlos Sainz,ferrari,5,90.329
22,uae,Carlos Sainz,ferrari,6,90.316
22,uae,Carlos Sainz,ferrari,7,90.255
22,uae,Carlos Sainz,ferrari,8,90.165
22,uae,Carlos Sainz,ferrari,9,90.174
22,uae,Carlos Sainz,ferrari,10,89.8
22,uae,Carlos Sainz,ferrari,11,89.772
22,uae,Carlos Sainz,ferrari,12,89.801
22,uae,Carlos Sainz,ferrari,13,89.591
22,uae,Carlos Sainz,ferrari,14,89.938
22,uae,Carlos Sainz,ferrari,15,89.591
22,uae,Carlos Sainz,ferrari,16,89.311
22,uae,Carlos Sainz,ferrari,17,90.907
22,uae,Carlos Sainz,ferrari,18,92.384
22,uae,Carlos Sainz,ferrari,19,110.428
22,uae,Carlos Sainz,ferrari,20,89.752
22,uae,Carlos Sainz,ferrari,21,89.803
22,uae,Carlos Sainz,ferrari,22,89.736
22,uae,Carlos Sainz,ferrari,23,89.576
22,uae,Carlos Sainz,ferrari,24,89.61
22,uae,Carlos Sainz,ferrari,25,89.505
22,uae,Carlos Sainz,ferrari,26,89.666
22,uae,Carlos Sainz,ferrari,27,89.719
22,uae,Carlos Sainz,ferrari,28,89.259
22,uae,Carlos Sainz,ferrari,29,89.121
22,uae,Carlos Sainz,ferrari,30,89.391
22,uae,Carlos Sainz,ferrari,31,89.116
22,uae,Carlos Sainz,ferrari,32,89.158
22,uae,Carlos Sainz,ferrari,33,88.828
22,uae,Carlos Sainz,ferrari,34,93.791
22,uae,Carlos Sainz,ferrari,35,115.364
22,uae,Carlos Sainz,ferrari,36,101.553
22,uae,Carlos Sainz,ferrari,37,88.292
22,uae,Carlos Sainz,ferrari,38,88.384
22,uae,Carlos Sainz,ferrari,39,88.325
22,uae,Carlos Sainz,ferrari,40,88.279
22,uae,Carlos Sainz,ferrari,41,88.037
22,uae,Carlos Sainz,ferrari,42,88.178
